# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridgeLoader.loading.modules.ms,1757015608855000000,1757015659967000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757015608855000000,1757015659967000000,0
jps.modifiable.module.model.bridge.load.module.ms,1757015608855000000,1757015659967000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1757015608855000000,1757015659967000000,0
jps.modifiable.module.model.bridge.disposing.ms,1757015608855000000,1757015659967000000,0
cacheStateStorage.get.counter,1757015608855000000,1757015659967000000,0
cacheStateStorage.set.counter,1757015608855000000,1757015659967000000,0
cacheStateStorage.get.duration,1757015608855000000,1757015659967000000,0
cacheStateStorage.set.duration,1757015608855000000,1757015659967000000,0
DiskQueryRelay.tasksExecuted,1757015608855000000,1757015659967000000,312
parser.Python.time.ns,1757015608855000000,1757015659967000000,705670959
writeAction.wait.ms,1757015608855000000,1757015659967000000,0
writeAction.count,1757015608855000000,1757015659967000000,0
DiskQueryRelay.tasksRequested,1757015608855000000,1757015659967000000,312
DiskQueryRelay.taskWaitingTotalTimeUs,1757015608855000000,1757015659967000000,42855491
lexer.Python.time.ns,1757015608855000000,1757015659967000000,3852318461
writeAction.max.wait.ms,1757015608855000000,1757015659967000000,21997
lexer.Python.size.bytes,1757015608855000000,1757015659967000000,27460
writeAction.median.wait.ms,1757015608855000000,1757015659967000000,0
parser.Python.size.bytes,1757015608855000000,1757015659967000000,27460
DiskQueryRelay.taskExecutionTotalTimeUs,1757015608855000000,1757015659967000000,41551031
workspaceModel.cachedValue.total.get.count,1757015716415000000,1757015776373000000,27
workspaceModel.loading.total.ms,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.instances.count,1757015716415000000,1757015776373000000,0
workspaceModel.on.changed.ms,1757015716415000000,1757015776373000000,122
workspaceModel.cachedValueWithParameters.total.get.count,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1757015716415000000,1757015776373000000,10
workspaceModel.full.replace.project.model.ms,1757015716415000000,1757015776373000000,0
workspaceModel.updates.count,1757015716415000000,1757015776373000000,1
workspaceModel.update.unloaded.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1757015716415000000,1757015776373000000,0
workspaceModel.updates.precise.ms,1757015716415000000,1757015776373000000,25
workspaceModel.entityStorageSnapshotImpl.instances.count,1757015716415000000,1757015776373000000,4
workspaceModel.cachedValue.from.cache.count,1757015716415000000,1757015776373000000,22
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1757015716415000000,1757015776373000000,6
workspaceModel.loading.from.cache.ms,1757015716415000000,1757015776373000000,0
workspaceModel.replace.project.model.ms,1757015716415000000,1757015776373000000,142
workspaceModel.collect.changes.ms,1757015716415000000,1757015776373000000,0
workspaceModel.cachedValue.clear.count,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1757015716415000000,1757015776373000000,55
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1757015716415000000,1757015776373000000,0
workspaceModel.check.recursive.update.ms,1757015716415000000,1757015776373000000,0
workspaceModel.to.snapshot.ms,1757015716415000000,1757015776373000000,3
workspaceModel.on.before.changed.ms,1757015716415000000,1757015776373000000,7
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.init.ms,1757015716415000000,1757015776373000000,0
workspaceModel.cachedValueWithParameters.clear.count,1757015716415000000,1757015776373000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1757015716415000000,1757015776373000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1757015716415000000,1757015776373000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1757015716415000000,1757015776373000000,0
workspaceModel.init.bridges.ms,1757015716415000000,1757015776373000000,12
workspaceModel.initializing.ms,1757015716415000000,1757015776373000000,4
workspaceModel.cachedValue.calculated.count,1757015716415000000,1757015776373000000,5
workspaceModel.pre.handlers.ms,1757015716415000000,1757015776373000000,6
workspaceModel.updates.ms,1757015716415000000,1757015776373000000,75
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1757015716415000000,1757015776373000000,39
Indexing.writer_0.totalTimeSpentWritingMs,1757015716415000000,1757015776373000000,0
Indexes.stubs.lookups,1757015716415000000,1757015776373000000,0
Indexes.stubs.lookupDurationMaxMs,1757015716415000000,1757015776373000000,0.0
Indexes.entries.lookupDurationMaxMs,1757015716415000000,1757015776373000000,0.0
Indexes.stubs.lookupDurationAvgMs,1757015716415000000,1757015776373000000,0.0
Indexes.entries.lookups,1757015716415000000,1757015776373000000,1
Indexes.allKeys.lookupDurationAvgMs,1757015716415000000,1757015776373000000,0.0
Indexing.cache.totalCacheMisses,1757015716415000000,1757015776373000000,8872
Indexing.writesQueuedMax,1757015716415000000,1757015776373000000,0
Indexes.entries.lookupDuration90PMs,1757015716415000000,1757015776373000000,0.0
Indexing.writesQueuedMin,1757015716415000000,1757015776373000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1757015716415000000,1757015776373000000,4130
Indexes.entries.lookupDurationAvgMs,1757015716415000000,1757015776373000000,0.0
Indexing.cache.totalCacheAccesses,1757015716415000000,1757015776373000000,87988
Indexing.writer_1.totalTimeSpentWritingMs,1757015716415000000,1757015776373000000,1590
Indexing.totalTimeIndexersSleptMs,1757015716415000000,1757015776373000000,0
Indexes.allKeys.lookupDurationMaxMs,1757015716415000000,1757015776373000000,0.0
Indexes.stubs.lookupDuration90PMs,1757015716415000000,1757015776373000000,0.0
Indexes.allKeys.lookupDuration90PMs,1757015716415000000,1757015776373000000,0.0
Indexes.allKeys.lookups,1757015716415000000,1757015776373000000,0
Indexing.cache.totalCacheEvicted,1757015716415000000,1757015776373000000,1120
Indexing.writer_3.totalTimeSpentWritingMs,1757015716415000000,1757015776373000000,318
NonBlockingReadAction.failedExecutionsCount,1757015716415000000,1757015776373000000,1
AWTEventQueue.dispatchTimeTotalNS,1757015716415000000,1757015776373000000,22841528139
FlushQueue.waitingTimeMaxNs,1757015716415000000,1757015776373000000,0
AWTEventQueue.dispatchTime90PNs,1757015716415000000,1757015776373000000,0
FlushQueue.queueSizeMax,1757015716415000000,1757015776373000000,0
WriteAction.executionsCount,1757015716415000000,1757015776373000000,67
NonBlockingReadAction.failedExecutionTimeUs,1757015716415000000,1757015776373000000,19733148
FlushQueue.queueSize90P,1757015716415000000,1757015776373000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757015716415000000,1757015776373000000,96809
NonBlockingReadAction.finalizedExecutionsCount,1757015716415000000,1757015776373000000,11
FlushQueue.queueSizeAvg,1757015716415000000,1757015776373000000,0.0
AWTEventQueue.eventsDispatched,1757015716415000000,1757015776373000000,0
FlushQueue.executionTime90PNs,1757015716415000000,1757015776373000000,0
FlushQueue.waitingTime90PNs,1757015716415000000,1757015776373000000,0
AWTEventQueue.dispatchTimeAvgNs,1757015716415000000,1757015776373000000,0.0
FlushQueue.executionTimeMaxNs,1757015716415000000,1757015776373000000,0
FlushQueue.executionTimeAvgNs,1757015716415000000,1757015776373000000,0.0
FlushQueue.waitingTimeAvgNs,1757015716415000000,1757015776373000000,0.0
FlushQueue.tasksExecuted,1757015716415000000,1757015776373000000,0
AWTEventQueue.dispatchTimeMaxNs,1757015716415000000,1757015776373000000,0
ReadAction.executionsCount,1757015716415000000,1757015776373000000,6256
FilePageCache.pageFastCacheHits,1757015716415000000,1757015776373000000,21525
StreamlinedBlobStorage.recordsRelocated,1757015716415000000,1757015776373000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757015716415000000,1757015776373000000,0
StreamlinedBlobStorage.recordsDeleted,1757015716415000000,1757015776373000000,0
MappedFileStorage.storages,1757015716415000000,1757015776373000000,12
MappedFileStorage.totalPagesMapped,1757015716415000000,1757015776373000000,12
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757015716415000000,1757015776373000000,179306496
FileChannelInterruptsRetryer.totalRetriedAttempts,1757015716415000000,1757015776373000000,0
StreamlinedBlobStorage.recordsAllocated,1757015716415000000,1757015776373000000,5
FilePageCache.uncachedFileAccess,1757015716415000000,1757015776373000000,603
FilePageCache.maxCacheSizeInBytes,1757015716415000000,1757015776373000000,179306496
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757015716415000000,1757015776373000000,350
FilePageCache.maxRegisteredFiles,1757015716415000000,1757015776373000000,465
FilePageCache.totalPageDisposalsUs,1757015716415000000,1757015776373000000,1084
MappedFileStorage.totalBytesMapped,1757015716415000000,1757015776373000000,185860096
DirectByteBufferAllocator.hits,1757015716415000000,1757015776373000000,256
DirectByteBufferAllocator.reclaimed,1757015716415000000,1757015776373000000,265
DirectByteBufferAllocator.misses,1757015716415000000,1757015776373000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757015716415000000,1757015776373000000,64
StorageLockContext.competingThreads.90P,1757015716415000000,1757015776373000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757015716415000000,1757015776373000000,10714661
FilePageCache.capacityInBytes,1757015716415000000,1757015776373000000,629145600
StorageLockContext.competingThreads.max,1757015716415000000,1757015776373000000,0
FilePageCache.pageLoads,1757015716415000000,1757015776373000000,257
FilePageCache.disposedBuffers,1757015716415000000,1757015776373000000,265
StorageLockContext.competingThreads.avg,1757015716415000000,1757015776373000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757015716415000000,1757015776373000000,9437184
DirectByteBufferAllocator.disposed,1757015716415000000,1757015776373000000,0
FilePageCache.pageHits,1757015716415000000,1757015776373000000,0
FilePageCache.totalPageLoadsUs,1757015716415000000,1757015776373000000,8400816
VFS.contentStorage.recordsReadSize,1757015716415000000,1757015776373000000,420516
VFS.contentStorage.recordsUncompressedSize,1757015716415000000,1757015776373000000,0
VFS.folderCaseSensitivityReads,1757015716415000000,1757015776373000000,7
VFS.contentStorage.recordsRead,1757015716415000000,1757015776373000000,33
FileNameCache.totalMisses,1757015716415000000,1757015776373000000,0
VFS.contentStorage.recordsStoredCompressed,1757015716415000000,1757015776373000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1757015716415000000,1757015776373000000,21919
VFS.contentStorage.recordsDeduplicated,1757015716415000000,1757015776373000000,0
VFS.fileByIdCache.misses,1757015716415000000,1757015776373000000,0
VFS.contentStorage.recordsStored,1757015716415000000,1757015776373000000,0
FileNameCache.queries,1757015716415000000,1757015776373000000,63680
VFS.contentStorage.recordsReadDecompressed,1757015716415000000,1757015776373000000,18
VFS.fileChildByName,1757015716415000000,1757015776373000000,555
VFS.contentStorage.recordsStoredSize,1757015716415000000,1757015776373000000,0
VFS.fileByIdCache.hits,1757015716415000000,1757015776373000000,0
VFS.invertedFileNameIndex.requests,1757015716415000000,1757015776373000000,2
JVM.maxThreadCount,1757015716415000000,1757015776373000000,133
JVM.totalTimeAtSafepointsMs,1757015716415000000,1757015776373000000,4220
JVM.totalBytesAllocated,1757015716415000000,1757015776373000000,1639004632
JVM.usedHeapBytes,1757015716415000000,1757015776373000000,817350280
JVM.totalDirectByteBuffersBytes,1757015716415000000,1757015776373000000,192483875
JVM.GC.collections,1757015716415000000,1757015776373000000,13
JVM.threadCount,1757015716415000000,1757015776373000000,77
MEM.ramMinusFileMappingsBytes,1757015716415000000,1757015776373000000,1590013952
JVM.totalCpuTimeMs,1757015716415000000,1757015776373000000,91240
JVM.totalSafepointCount,1757015716415000000,1757015776373000000,108
JVM.committedHeapBytes,1757015716415000000,1757015776373000000,2004877312
JVM.newThreadsCount,1757015716415000000,1757015776373000000,34
JVM.maxHeapBytes,1757015716415000000,1757015776373000000,2877292544
MEM.ramBytes,1757015716415000000,1757015776373000000,1718439936
MEM.fileMappingsRamBytes,1757015716415000000,1757015776373000000,128425984
JVM.GC.collectionTimesMs,1757015716415000000,1757015776373000000,4121
JVM.totalTimeToSafepointsMs,1757015716415000000,1757015776373000000,2052
MEM.ramPlusSwapMinusFileMappingsBytes,1757015716415000000,1757015776373000000,1797996544
OS.loadAverage,1757015716415000000,1757015776373000000,13.22314453125
JVM.usedNativeBytes,1757015716415000000,1757015776373000000,356906488
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757015716415000000,1757015776373000000,1
jps.save.global.entities.ms,1757015716415000000,1757015776373000000,0
jps.save.changed.project.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757015716415000000,1757015776373000000,0
workspaceModel.orphan.listener.update.ms,1757015716415000000,1757015776373000000,1
jps.global.get.library.by.name.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757015716415000000,1757015776373000000,0
workspaceModel.global.updates.count,1757015716415000000,1757015776373000000,0
jps.project.serializers.save.ms,1757015716415000000,1757015776373000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1757015716415000000,1757015776373000000,0
jps.facet.change.listener.process.change.events.ms,1757015716415000000,1757015776373000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1757015716415000000,1757015776373000000,0
jps.load.project.to.empty.storage.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1757015716415000000,1757015776373000000,1
jps.artifact.entities.serializer.save.entities.ms,1757015716415000000,1757015776373000000,0
jps.facet.change.listener.init.bridge.ms,1757015716415000000,1757015776373000000,0
jps.storage.jps.conf.reader.load.component.ms,1757015716415000000,1757015776373000000,0
jps.global.initialize.library.bridges.after.loading.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleBridge.before.changed.ms,1757015716415000000,1757015776373000000,0
jps.modifiable.module.model.bridge.renaming.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1757015716415000000,1757015776373000000,0
jps.global.initialize.library.bridges.ms,1757015716415000000,1757015776373000000,8
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757015716415000000,1757015776373000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757015716415000000,1757015776373000000,18
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1757015716415000000,1757015776373000000,0
jps.apply.loaded.storage.ms,1757015716415000000,1757015776373000000,0
jps.global.handle.before.change.events.ms,1757015716415000000,1757015776373000000,0
jps.facet.change.listener.before.change.events.ms,1757015716415000000,1757015776373000000,0
workspaceModel.global.updates.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleBridge.update.option.ms,1757015716415000000,1757015776373000000,0
jps.global.get.library.ms,1757015716415000000,1757015776373000000,0
workspaceModel.load.cache.from.file.ms,1757015716415000000,1757015776373000000,0
jps.load.initial.state.ms,1757015716415000000,1757015776373000000,0
workspaceModel.do.save.caches.ms,1757015716415000000,1757015776373000000,0
jps.library.entities.serializer.save.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1757015716415000000,1757015776373000000,0
workspaceModel.load.cache.metadata.from.file.ms,1757015716415000000,1757015776373000000,0
jps.global.get.libraries.ms,1757015716415000000,1757015776373000000,1
workspaceModel.global.apply.state.to.project.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757015716415000000,1757015776373000000,0
jps.library.entities.serializer.load.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.entities.ms,1757015716415000000,1757015776373000000,0
jps.global.handle.changed.events.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1757015716415000000,1757015776373000000,0
workspaceModel.sync.entities.ms,1757015716415000000,1757015776373000000,0
jps.reload.project.entities.ms,1757015716415000000,1757015776373000000,0
jps.app.storage.content.reader.load.component.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.instances.count,1757015716415000000,1757015776373000000,3
jps.artifact.entities.serializer.load.entities.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757015716415000000,1757015776373000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757015716415000000,1757015776373000000,0
workspaceModel.save.cache.to.file.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757015716415000000,1757015776373000000,0
jps.modifiable.module.model.bridge.new.module.ms,1757015716415000000,1757015776373000000,0
jps.project.serializers.load.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1757015716415000000,1757015776373000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757015716415000000,1757015776373000000,18
jps.modifiable.module.model.bridge.load.module.ms,1757015716415000000,1757015776373000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1757015716415000000,1757015776373000000,0
jps.modifiable.module.model.bridge.disposing.ms,1757015716415000000,1757015776373000000,0
cacheStateStorage.get.counter,1757015716415000000,1757015776373000000,0
cacheStateStorage.set.counter,1757015716415000000,1757015776373000000,0
cacheStateStorage.get.duration,1757015716415000000,1757015776373000000,0
cacheStateStorage.set.duration,1757015716415000000,1757015776373000000,0
parser.TypeScript.time.ns,1757015716415000000,1757015776373000000,13087708873
parser.Flow.JS.time.ns,1757015716415000000,1757015776373000000,845711665
lexer.Flow.JS.time.ns,1757015716415000000,1757015776373000000,54932628
writeAction.wait.ms,1757015716415000000,1757015776373000000,17864
DiskQueryRelay.taskWaitingTotalTimeUs,1757015716415000000,1757015776373000000,2943979
parser.Flow.JS.size.bytes,1757015716415000000,1757015776373000000,748938
lexer.Python.time.ns,1757015716415000000,1757015776373000000,710325080
parser.SCSS.time.ns,1757015716415000000,1757015776373000000,221706824
writeAction.median.wait.ms,1757015716415000000,1757015776373000000,42500
lexer.Flow.JS.size.bytes,1757015716415000000,1757015776373000000,748938
parser.SCSS.size.bytes,1757015716415000000,1757015776373000000,66203
lexer.SCSS.time.ns,1757015716415000000,1757015776373000000,34083628
parser.Python.size.bytes,1757015716415000000,1757015776373000000,547195
lexer.TypeScript.time.ns,1757015716415000000,1757015776373000000,1087383090
DiskQueryRelay.tasksExecuted,1757015716415000000,1757015776373000000,1226
lexer.SCSS.size.bytes,1757015716415000000,1757015776373000000,66203
parser.TypeScript.size.bytes,1757015716415000000,1757015776373000000,10069734
parser.Python.time.ns,1757015716415000000,1757015776373000000,606858542
writeAction.count,1757015716415000000,1757015776373000000,67
DiskQueryRelay.tasksRequested,1757015716415000000,1757015776373000000,1226
writeAction.max.wait.ms,1757015716415000000,1757015776373000000,21997
lexer.Python.size.bytes,1757015716415000000,1757015776373000000,547195
lexer.TypeScript.size.bytes,1757015716415000000,1757015776373000000,10069734
DiskQueryRelay.taskExecutionTotalTimeUs,1757015716415000000,1757015776373000000,2932186
workspaceModel.cachedValue.total.get.count,1757015776373000000,1757015836364000000,0
workspaceModel.loading.total.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.instances.count,1757015776373000000,1757015836364000000,0
workspaceModel.on.changed.ms,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1757015776373000000,1757015836364000000,0
workspaceModel.full.replace.project.model.ms,1757015776373000000,1757015836364000000,0
workspaceModel.updates.count,1757015776373000000,1757015836364000000,0
workspaceModel.update.unloaded.entities.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1757015776373000000,1757015836364000000,0
workspaceModel.updates.precise.ms,1757015776373000000,1757015836364000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValue.from.cache.count,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1757015776373000000,1757015836364000000,0
workspaceModel.loading.from.cache.ms,1757015776373000000,1757015836364000000,0
workspaceModel.replace.project.model.ms,1757015776373000000,1757015836364000000,0
workspaceModel.collect.changes.ms,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValue.clear.count,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1757015776373000000,1757015836364000000,0
workspaceModel.check.recursive.update.ms,1757015776373000000,1757015836364000000,0
workspaceModel.to.snapshot.ms,1757015776373000000,1757015836364000000,0
workspaceModel.on.before.changed.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.init.ms,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValueWithParameters.clear.count,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1757015776373000000,1757015836364000000,0
workspaceModel.init.bridges.ms,1757015776373000000,1757015836364000000,0
workspaceModel.initializing.ms,1757015776373000000,1757015836364000000,0
workspaceModel.cachedValue.calculated.count,1757015776373000000,1757015836364000000,0
workspaceModel.pre.handlers.ms,1757015776373000000,1757015836364000000,0
workspaceModel.updates.ms,1757015776373000000,1757015836364000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1757015776373000000,1757015836364000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1757015776373000000,1757015836364000000,0
Indexes.stubs.lookups,1757015776373000000,1757015836364000000,0
Indexes.stubs.lookupDurationMaxMs,1757015776373000000,1757015836364000000,0.0
Indexes.entries.lookupDurationMaxMs,1757015776373000000,1757015836364000000,0.0
Indexes.stubs.lookupDurationAvgMs,1757015776373000000,1757015836364000000,0.0
Indexes.entries.lookups,1757015776373000000,1757015836364000000,0
Indexes.allKeys.lookupDurationAvgMs,1757015776373000000,1757015836364000000,0.0
Indexing.cache.totalCacheMisses,1757015776373000000,1757015836364000000,0
Indexing.writesQueuedMax,1757015776373000000,1757015836364000000,0
Indexes.entries.lookupDuration90PMs,1757015776373000000,1757015836364000000,0.0
Indexing.writesQueuedMin,1757015776373000000,1757015836364000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1757015776373000000,1757015836364000000,0
Indexes.entries.lookupDurationAvgMs,1757015776373000000,1757015836364000000,0.0
Indexing.cache.totalCacheAccesses,1757015776373000000,1757015836364000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1757015776373000000,1757015836364000000,0
Indexing.totalTimeIndexersSleptMs,1757015776373000000,1757015836364000000,0
Indexes.allKeys.lookupDurationMaxMs,1757015776373000000,1757015836364000000,0.0
Indexes.stubs.lookupDuration90PMs,1757015776373000000,1757015836364000000,0.0
Indexes.allKeys.lookupDuration90PMs,1757015776373000000,1757015836364000000,0.0
Indexes.allKeys.lookups,1757015776373000000,1757015836364000000,0
Indexing.cache.totalCacheEvicted,1757015776373000000,1757015836364000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1757015776373000000,1757015836364000000,0
NonBlockingReadAction.failedExecutionsCount,1757015776373000000,1757015836364000000,0
AWTEventQueue.dispatchTimeTotalNS,1757015776373000000,1757015836364000000,248556792
FlushQueue.waitingTimeMaxNs,1757015776373000000,1757015836364000000,0
AWTEventQueue.dispatchTime90PNs,1757015776373000000,1757015836364000000,0
FlushQueue.queueSizeMax,1757015776373000000,1757015836364000000,0
WriteAction.executionsCount,1757015776373000000,1757015836364000000,0
NonBlockingReadAction.failedExecutionTimeUs,1757015776373000000,1757015836364000000,0
FlushQueue.queueSize90P,1757015776373000000,1757015836364000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757015776373000000,1757015836364000000,0
NonBlockingReadAction.finalizedExecutionsCount,1757015776373000000,1757015836364000000,0
FlushQueue.queueSizeAvg,1757015776373000000,1757015836364000000,0.0
AWTEventQueue.eventsDispatched,1757015776373000000,1757015836364000000,0
FlushQueue.executionTime90PNs,1757015776373000000,1757015836364000000,0
FlushQueue.waitingTime90PNs,1757015776373000000,1757015836364000000,0
AWTEventQueue.dispatchTimeAvgNs,1757015776373000000,1757015836364000000,0.0
FlushQueue.executionTimeMaxNs,1757015776373000000,1757015836364000000,0
FlushQueue.executionTimeAvgNs,1757015776373000000,1757015836364000000,0.0
FlushQueue.waitingTimeAvgNs,1757015776373000000,1757015836364000000,0.0
FlushQueue.tasksExecuted,1757015776373000000,1757015836364000000,0
AWTEventQueue.dispatchTimeMaxNs,1757015776373000000,1757015836364000000,0
ReadAction.executionsCount,1757015776373000000,1757015836364000000,0
FilePageCache.pageFastCacheHits,1757015776373000000,1757015836364000000,0
StreamlinedBlobStorage.recordsRelocated,1757015776373000000,1757015836364000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757015776373000000,1757015836364000000,0
StreamlinedBlobStorage.recordsDeleted,1757015776373000000,1757015836364000000,0
MappedFileStorage.storages,1757015776373000000,1757015836364000000,12
MappedFileStorage.totalPagesMapped,1757015776373000000,1757015836364000000,12
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757015776373000000,1757015836364000000,179306496
FileChannelInterruptsRetryer.totalRetriedAttempts,1757015776373000000,1757015836364000000,0
StreamlinedBlobStorage.recordsAllocated,1757015776373000000,1757015836364000000,0
FilePageCache.uncachedFileAccess,1757015776373000000,1757015836364000000,0
FilePageCache.maxCacheSizeInBytes,1757015776373000000,1757015836364000000,179306496
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757015776373000000,1757015836364000000,0
FilePageCache.maxRegisteredFiles,1757015776373000000,1757015836364000000,465
FilePageCache.totalPageDisposalsUs,1757015776373000000,1757015836364000000,0
MappedFileStorage.totalBytesMapped,1757015776373000000,1757015836364000000,185860096
DirectByteBufferAllocator.hits,1757015776373000000,1757015836364000000,0
DirectByteBufferAllocator.reclaimed,1757015776373000000,1757015836364000000,0
DirectByteBufferAllocator.misses,1757015776373000000,1757015836364000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757015776373000000,1757015836364000000,0
